"Distance_Metric","K_value","Accuracy","Recall"
"Manhattan Distance",1,0.641283826305853,0.358974358974359
"Manhattan Distance",2,0.712397734424166,0.160839160839161
"Manhattan Distance",3,0.685336689741976,0.331002331002331
"Manhattan Distance",4,0.70862177470107,0.181818181818182
"Manhattan Distance",5,0.690371302706104,0.305361305361305
"Manhattan Distance",6,0.709251101321586,0.181818181818182
"Manhattan Distance",7,0.704216488357458,0.286713286713287
"Manhattan Distance",8,0.716803020767778,0.198135198135198
"Manhattan Distance",9,0.714285714285714,0.293706293706294
"Manhattan Distance",10,0.721837633731907,0.2004662004662
"Manhattan Distance",11,0.710509754562618,0.27039627039627
"Manhattan Distance",12,0.721837633731907,0.223776223776224
"Manhattan Distance",13,0.718691000629327,0.286713286713287
"Manhattan Distance",14,0.723096286972939,0.20979020979021
"Manhattan Distance",15,0.718061674008811,0.272727272727273
"Manhattan Distance",16,0.722466960352423,0.207459207459207
"Manhattan Distance",17,0.713027061044682,0.258741258741259
"Manhattan Distance",18,0.719320327249843,0.202797202797203
"Manhattan Distance",19,0.721208307111391,0.265734265734266
"Manhattan Distance",20,0.718061674008811,0.193473193473193
